# Created by Octave 3.4.0, Thu Oct 25 23:21:22 2012 IST <apple@Gaganpreet-Singh.local>
# name: matrix_including_histograms
# type: matrix
# rows: 51
# columns: 16
 x y1 y2 y3 h11 h12 h13 h21 h22 h23 h31 h32 h33 h41 h42 h43
 0 1.798465042647409e-08 3.059023205018258e-07 2.736278216457305e-06 0 0 0 0 0 0 0 0 0 0 0 3e-06
 1 3.853853662815903e-07 4.588534807527389e-06 1.088680018124229e-05 0 0 0 0 0.0001 0 0 2e-05 2e-05 0 5e-06 8e-06
 2 4.046546345956646e-06 3.441401105645543e-05 3.938028650424004e-05 0 0 0 0 0.0001 0 0 1e-05 1e-05 5e-06 3.3e-05 5.2e-05
 3 2.774774637227354e-05 0.000172070055282277 0.0001295078554357007 0 0 0 0.0001 0.0001 0 3e-05 0.00019 0.00014 2.3e-05 0.000151 0.000146
 4 0.0001397297228032385 0.000645262707308539 0.0003872148218624071 0 0 0 0.0002 0.0008 0.0002 0.00012 0.00065 0.00028 0.000122 0.000643 0.000391
 5 0.0005509343356241792 0.001935788121925618 0.001052559013978588 0.001 0.001 0.002 0.0002 0.0021 0.0009 0.00042 0.00191 0.00095 0.00056 0.001912 0.001092
 6 0.001770860364506334 0.004839470304814035 0.002601234812196617 0.001 0.005 0.003 0.0018 0.0042 0.0022 0.00202 0.00472 0.00246 0.001752 0.004879 0.002653
 7 0.004770480981935308 0.01037029351031579 0.005844552726458815 0.007 0.019 0.007 0.0043 0.0092 0.0049 0.00476 0.009950000000000001 0.00584 0.004839 0.010441 0.005945
 8 0.01098914369052973 0.01944430033184211 0.01193882606793522 0.012 0.024 0.016 0.0105 0.0199 0.0124 0.01133 0.01983 0.01175 0.01089 0.019439 0.012057
 9 0.02197828738105946 0.03240716721973691 0.02217229203714985 0.018 0.035 0.022 0.0224 0.0334 0.0248 0.0216 0.03265 0.02258 0.022295 0.032076 0.022327
 10 0.03861899068386172 0.04861075082960516 0.03743675316091671 0.032 0.045 0.031 0.0417 0.0495 0.0379 0.03679 0.0488 0.03793 0.038575 0.048798 0.037764
 11 0.06018544002679656 0.06628738749491615 0.05746777496394127 0.059 0.073 0.07099999999999999 0.0582 0.0633 0.0622 0.05974 0.06686 0.05767 0.060293 0.066284 0.05784
 12 0.08382972003732515 0.08285923436864541 0.08020274078172775 0.08699999999999999 0.089 0.08 0.08799999999999999 0.0779 0.08210000000000001 0.08391 0.08357000000000001 0.07890999999999999 0.083754 0.082873 0.079459
 13 0.1050174514753324 0.09560680888689863 0.1017636458338266 0.107 0.101 0.094 0.1053 0.09429999999999999 0.102 0.1052 0.09443 0.10149 0.104946 0.095012 0.10171
 14 0.118948337895525 0.1024358666645339 0.1173909795868057 0.108 0.104 0.109 0.1142 0.1097 0.1179 0.11968 0.10369 0.11666 0.119096 0.102402 0.117393
 15 0.1223468618353986 0.1024358666645339 0.1231162606149145 0.133 0.104 0.12 0.1227 0.1024 0.1206 0.12237 0.10348 0.1234 0.121992 0.102567 0.122554
 16 0.1147001829706884 0.09603362499800054 0.1173909795868057 0.109 0.079 0.121 0.1171 0.0977 0.1126 0.11487 0.09470000000000001 0.11713 0.114584 0.096482 0.117159
 17 0.09831444254630185 0.08473555146882411 0.1017636458338266 0.108 0.081 0.12 0.0968 0.0858 0.1018 0.09802 0.08364000000000001 0.10209 0.09850299999999999 0.08468299999999999 0.101308
 18 0.07724706200066751 0.07061295955735365 0.08020274078172775 0.083 0.06900000000000001 0.078 0.0779 0.06569999999999999 0.07580000000000001 0.07875 0.07004000000000001 0.08048 0.077255 0.07063999999999999 0.07999100000000001
 19 0.05575727783506828 0.05574707333475282 0.05746777496394127 0.053 0.061 0.048 0.0546 0.0564 0.0578 0.0547 0.05548 0.05764 0.055449 0.055896 0.057643
 20 0.03703876313329525 0.04181030500106466 0.03743675316091671 0.035 0.031 0.035 0.0363 0.0417 0.039 0.03778 0.04168 0.0382 0.03726 0.041894 0.037581
 21 0.02267679375507898 0.02986450357218928 0.02217229203714985 0.023 0.032 0.023 0.0217 0.0297 0.0231 0.02248 0.03004 0.02262 0.022589 0.029618 0.022477
 22 0.01281091595254447 0.02036216152649262 0.01193882606793522 0.014 0.018 0.01 0.0129 0.0233 0.0112 0.01298 0.01982 0.01165 0.012879 0.020413 0.012063
 23 0.006683956149153672 0.01327967056075607 0.005844552726458815 0.004 0.011 0.006 0.0069 0.0129 0.007 0.0068 0.01364 0.00591 0.006794 0.013317 0.006058
 24 0.003222621714770502 0.008299794100472518 0.002601234812196617 0.004 0.008 0.003 0.0032 0.0086 0.002 0.00331 0.008580000000000001 0.00276 0.003148 0.008333 0.002689
 25 0.001436368535726297 0.004979876460283521 0.001052559013978588 0.001 0.007 0 0.0017 0.005 0.001 0.00153 0.00523 0.00088 0.001464 0.005034 0.001062
